iter	Passed	Remaining
0	2	250
1	4	221
2	6	205
3	7	186
4	9	178
5	11	179
6	13	176
7	14	172
8	16	168
9	18	164
10	20	163
11	22	161
12	23	159
13	25	155
14	26	152
15	28	151
16	30	150
17	32	147
18	33	142
19	34	138
20	35	135
21	37	131
22	38	128
23	39	124
24	40	121
25	41	118
26	42	115
27	43	113
28	45	110
29	46	108
30	47	105
31	48	103
32	49	101
33	51	99
34	52	97
35	53	95
36	54	93
37	55	90
38	56	89
39	58	87
40	59	85
41	60	83
42	61	81
43	62	79
44	63	77
45	64	76
46	66	74
47	67	72
48	68	71
49	69	69
50	70	67
51	71	66
52	72	64
53	74	63
54	74	61
55	75	59
56	77	58
57	78	56
58	79	55
59	80	53
60	81	52
61	82	50
62	83	49
63	85	47
64	86	46
65	87	45
66	88	43
67	90	42
68	91	41
69	92	39
70	93	38
71	95	36
72	96	35
73	97	34
74	98	32
75	100	31
76	101	30
77	102	28
78	103	27
79	104	26
80	106	24
81	107	23
82	108	22
83	110	20
84	111	19
85	112	18
86	113	17
87	115	15
88	116	14
89	117	13
90	118	11
91	120	10
92	121	9
93	122	7
94	123	6
95	125	5
96	126	3
97	127	2
98	129	1
99	130	0
